total_2_1edge,total_2_indep,total_3_tris,total_2_star,total_3_1edge,total_3_indep,total_4_clique,total_4_chordcycle,total_4_tailed_tris,total_4_cycle,total_3_star,total_4_path,total_4_1edge,total_4_2edge,total_4_2star,total_4_tri,total_4_indep,filename
1598,1276003,0,1276003,0,678833596,0,0,0,0,678833596,0,0,0,0,0,270684896405,./motifs/1.motifcount
1294,836571,0,836571,0,360283244,0,0,0,0,360283244,0,0,0,0,0,116281417001,./motifs/2.motifcount
745,277140,0,277140,0,68638340,0,0,0,0,68638340,0,0,0,0,0,12732412070,./motifs/3.motifcount
654,206392,0,10358,399152,43898334,0,0,0,20,386456,64297,122234811,138836,5351436,0,6972156145,./motifs/4.motifcount
597,177309,0,10745,333725,34940220,0,0,0,1,439224,62277,93903984,104882,4940300,0,5140325797,./motifs/5.motifcount
560,156520,0,156520,0,29112720,0,0,0,0,29112720,0,0,0,0,0,4053946260,./motifs/6.motifcount
408,83028,0,54765,56526,11208193,0,0,0,0,5989557,25410,7228563,2853,4215099,0,1131466144,./motifs/7.motifcount
503,81712,14,3643,195884,10872079,0,8,27,219,53238,17820,37964031,104267,1271829,5599,1076048677,./motifs/8.motifcount
386,74305,0,73921,768,9510656,0,0,0,0,9437120,384,73536,0,73536,0,910608544,./motifs/9.motifcount
377,70876,0,70127,1498,8858751,0,0,0,0,8718875,748,140621,1,139504,0,828223001,./motifs/10.motifcount
372,69006,0,69006,0,8510740,0,0,0,0,8510740,0,0,0,0,0,785115765,./motifs/11.motifcount
365,66430,0,66430,0,8038030,0,0,0,0,8038030,0,0,0,0,0,727441715,./motifs/12.motifcount
362,65341,0,65341,0,7840920,0,0,0,0,7840920,0,0,0,0,0,703722570,./motifs/13.motifcount
356,63190,0,3889,118602,7397119,0,0,0,0,80446,21456,19802952,37845,1092456,0,644450330,./motifs/14.motifcount
360,62121,0,6245,114230,7210629,0,0,0,22,102721,22250,18113709,36081,1839244,0,623190349,./motifs/15.motifcount
334,55611,0,3325,104572,6101998,0,0,0,0,65426,18552,16402414,33734,870518,0,498030641,./motifs/16.motifcount
325,52650,0,3187,98926,5619187,0,0,0,0,60270,17963,15082921,31500,812665,0,445989656,./motifs/17.motifcount
323,50398,2,47005,8375,5304137,0,0,8,3,4775410,3984,796984,994,519354,624,417304640,./motifs/18.motifcount
318,50403,0,47611,5584,5306324,0,0,0,0,4869664,2772,448920,20,430540,0,417650085,./motifs/19.motifcount
313,48828,0,48208,1240,5061216,0,0,0,0,4965116,620,96100,0,96100,0,392196190,./motifs/20.motifcount
304,46056,0,46056,0,4636304,0,0,0,0,4636304,0,0,0,0,0,348881876,./motifs/21.motifcount
287,41041,0,41041,0,3898895,0,0,0,0,3898895,0,0,0,0,0,276821545,./motifs/22.motifcount
283,39903,0,39903,0,3737581,0,0,0,0,3737581,0,0,0,0,0,261630670,./motifs/23.motifcount
288,38493,2,3120,73530,3504127,0,1,1,17,62753,14156,9439665,24009,644477,549,236888123,./motifs/24.motifcount
292,36023,0,6661,64934,3172545,0,0,0,28,234397,11582,7556713,24187,1052020,0,207667418,./motifs/25.motifcount
305,35473,0,2572,75986,3093758,0,0,0,110,33946,13829,9443194,29739,551644,0,200093473,./motifs/26.motifcount
259,33411,0,33154,514,2861952,0,0,0,0,2829056,257,32896,0,32896,0,183148480,./motifs/27.motifcount
254,32131,0,32131,0,2699004,0,0,0,0,2699004,0,0,0,0,0,169362501,./motifs/28.motifcount
251,31375,0,1781,59188,2574531,0,0,0,0,21345,10000,6960284,19594,359434,0,156689218,./motifs/29.motifcount
234,27261,0,4199,46124,2085122,0,0,0,0,110120,12702,4698558,10360,618404,0,118405666,./motifs/30.motifcount
229,26106,0,26106,0,1975354,0,0,0,0,1975354,0,0,0,0,0,111607501,./motifs/31.motifcount
282,26053,0,2262,59772,1939426,0,0,0,85,36240,7158,6326804,30031,390098,0,106792439,./motifs/32.motifcount
220,24090,0,24090,0,1750540,0,0,0,0,1750540,0,0,0,0,0,94966795,./motifs/33.motifcount
263,23608,6,2560,51933,1672170,0,3,27,97,46163,6520,5149097,25128,400983,1263,87610845,./motifs/34.motifcount
217,23436,0,23008,856,1679152,0,0,0,0,1633356,428,45796,0,45796,0,89811734,./motifs/35.motifcount
217,23436,0,23436,0,1679580,0,0,0,0,1679580,0,0,0,0,0,89857530,./motifs/36.motifcount
208,21528,0,1397,40262,1458125,0,0,0,0,14600,7172,3884258,12959,229638,0,73090249,./motifs/37.motifcount
244,20871,19,7299,35121,1393381,0,5,1795,42,279111,12880,2918048,7521,614836,2052,69031575,./motifs/38.motifcount
202,20301,0,20301,0,1353400,0,0,0,0,1353400,0,0,0,0,0,67331650,./motifs/39.motifcount
208,19892,7,10795,19781,1302717,1,3,17,0,468862,1325,1208091,9361,728134,1359,63581197,./motifs/40.motifcount
202,19698,0,1812,36372,1275216,0,0,0,4,17028,5375,3255941,13106,295114,0,61098382,./motifs/41.motifcount
209,19691,6,6525,28314,1278555,0,3,15,7,223766,3793,2154180,11365,606477,1161,61684183,./motifs/42.motifcount
225,19675,3,1904,40733,1270760,0,1,8,29,25640,7010,3687883,16209,284014,581,60663575,./motifs/43.motifcount
196,19110,0,19110,0,1235780,0,0,0,0,1235780,0,0,0,0,0,59626385,./motifs/44.motifcount
196,19110,0,1358,35504,1218028,0,0,0,0,14551,6601,3208388,11151,206597,0,57414877,./motifs/45.motifcount
231,18879,33,6235,32245,1197267,8,8,2541,14,219327,10628,2561122,6994,518964,3780,56302999,./motifs/46.motifcount
194,18721,0,18339,764,1197762,0,0,0,0,1161281,382,36481,0,36481,0,57174895,./motifs/47.motifcount
196,18719,0,17778,2272,1196815,0,0,0,3,1107417,1312,128283,14,88489,0,57084002,./motifs/48.motifcount
187,17391,0,17391,0,1072445,0,0,0,0,1072445,0,0,0,0,0,49332470,./motifs/49.motifcount
183,16653,0,16653,0,1004731,0,0,0,0,1004731,0,0,0,0,0,45212895,./motifs/50.motifcount
189,16101,2,1192,31441,939335,0,1,1,6,12614,4364,2603399,12189,165578,353,40454160,./motifs/51.motifcount
179,15046,3,1221,28516,848235,0,3,3,1,7651,4268,2247995,10422,178507,507,35303568,./motifs/52.motifcount
206,15019,27,1260,33037,843651,2,15,120,22,8984,4388,2618999,15186,180634,4486,34920089,./motifs/53.motifcount
187,15038,0,7957,16437,853581,0,0,0,28,318119,1572,985407,7806,410991,0,36029002,./motifs/54.motifcount
180,14698,0,4114,22552,821380,0,0,0,19,117501,7972,1570119,3986,330857,0,34011501,./motifs/55.motifcount
169,14196,0,961,26470,777009,0,0,0,0,7470,4655,2059663,8580,128767,0,31376235,./motifs/56.motifcount
167,13528,0,1488,24412,722760,0,0,0,2,19836,5445,1798147,6924,172138,0,28505403,./motifs/57.motifcount
188,13015,0,1850,26568,680143,0,0,0,36,23123,5978,1885575,9678,214531,0,26203519,./motifs/58.motifcount
167,13036,0,2257,22373,683931,0,0,0,8,30092,2314,1502794,9274,266184,0,26531774,./motifs/59.motifcount
180,12861,11,1509,25749,668251,0,7,29,16,14873,5016,1835358,9477,185144,1706,25595294,./motifs/60.motifcount
164,11926,0,1299,22658,596663,0,0,0,12,15426,4526,1570408,7517,143369,0,21997457,./motifs/61.motifcount
155,11935,0,11935,0,608685,0,0,0,0,608685,0,0,0,0,0,23130030,./motifs/62.motifcount
154,11781,0,11781,0,596904,0,0,0,0,596904,0,0,0,0,0,22533126,./motifs/63.motifcount
152,11476,0,796,21360,563120,0,0,0,0,5260,3720,1488180,6960,96180,0,20347550,./motifs/64.motifcount
152,11476,0,11476,0,573800,0,0,0,0,573800,0,0,0,0,0,21374050,./motifs/65.motifcount
153,11323,0,10741,1468,561591,0,0,0,0,518667,594,64966,293,43220,0,20746310,./motifs/66.motifcount
151,11325,0,11325,0,562475,0,0,0,0,562475,0,0,0,0,0,20811575,./motifs/67.motifcount
206,11119,1,3589,23513,535372,0,0,8,211,83209,6735,1445082,10358,267215,140,18998617,./motifs/68.motifcount
151,11024,2,8686,4970,537642,0,0,6,0,374700,2227,213557,400,148276,288,19520821,./motifs/69.motifcount
155,9998,0,1019,19817,456355,0,0,0,14,11521,2690,1265443,8198,102661,0,15311158,./motifs/70.motifcount
